player_id,player_name,team
203501,Tim Hardaway Jr.,Pistons
201935,James Harden,Clippers
1630702,Jaden Hardy,Mavericks
1641989,Elijah Harkless,Jazz
1631199,Ron Harper Jr.,Pistons
203914,Gary Harris,Magic
202699,Tobias Harris,Pistons
1628404,Josh Hart,Knicks
1628392,Isaiah Hartenstein,Thunder
1630573,Sam Hauser,Celtics
1641722,Jordan Hawkins,Pelicans
1629637,Jaxson Hayes,Lakers
1630703,Scoot Henderson,Blazers
1641707,Taylor Hendricks,Jazz
1629639,Tyler Herro,Heat
1627741,Buddy Hield,Warriors
1629312,Haywood Highsmith,Heat
1628988,Aaron Holiday,Rockets
201950,Jrue Holiday,Celtics
1641842,Ronald Holland II,Pistons
1626158,Richaun Holmes,Wizards
1641747,DaRon Holmes II,Nuggets
1631096,Chet Holmgren,Thunder
1641720,Jalen Hood-Schifino,Sixers
201143,Al Horford,Celtics
1629659,Talen Horton-Tucker,Bulls
1631216,Caleb Houstan,Magic
1641724,Jett Howard,Magic
1628989,Kevin Huerter,Bulls
1630643,Jay Huff,Grizzlies
1630574,Ariel Hukporti,Knicks
1629631,De'Andre Hunter,Cavaliers
1630538,Bones Hyland,Timberwolves
1642345,Oso Ighodaro,Suns
204060,Joe Ingles,Timberwolves
1627742,Brandon Ingram,Raptors
1631127,Harrison Ingram,Spurs
202681,Kyrie Irving,Mavericks
1628371,Jonathan Isaac,Magic
1631093,Jaden Ivey,Pistons
1641713,GG Jackson,Grizzlies
1630543,Isaiah Jackson,Pacers
1631245,Quenton Jackson,Pacers
1641748,Andre Jackson Jr.,Bucks
1628991,Jaren Jackson Jr.,Grizzlies
1631218,Trayce Jackson-Davis,Warriors
1642355,Bronny James,Lakers
2544,LeBron James,Lakers
1631170,Jaime Jaquez Jr.,Heat
1629610,DaQuan Jeffries,Hornets
1641998,Trey Jemison III,Lakers
1642450,Daniss Jenkins,Pistons
1629660,Ty Jerome,Cavaliers
1630198,Isaiah Joe,Thunder
1642358,AJ Johnson,Wizards
1629661,Cameron Johnson,Nets
1630552,Jalen Johnson,Hawks
201949,James Johnson,Pacers
1629640,Keldon Johnson,Spurs
1630553,Keon Johnson,Nets
1642352,Keshad Johnson,Heat
203999,Nikola Jokić,Nuggets
1641732,Colby Jones,Wizards
1641794,Dillon Jones,Thunder
1630529,Herbert Jones,Pelicans
1642403,Isaac Jones,Kings
1630539,Kai Jones,Mavericks
1630222,Mason Jones,Kings
1642461,Spencer Jones,Nuggets
1630200,Tre Jones,Bulls
1626145,Tyus Jones,Suns
1627884,Derrick Jones Jr.,Clippers
201599,DeAndre Jordan,Nuggets
202709,Cory Joseph,Magic
1631107,Nikola Jović,Heat
1630548,Johnny Juzang,Jazz
1642530,Yuki Kawamura,Grizzlies
1628379,Luke Kennard,Grizzlies
1631117,Walker Kessler,Jazz
1630296,Braxton Key,Warriors
1630557,Corey Kispert,Wizards
1628467,Maxi Kleber,Lakers
1641752,Bobi Klintman,Pistons
1642261,Dalton Knecht,Lakers
1642278,Tyler Kolek,Knicks
1631132,Christian Koloko,Lakers
1629723,John Konchar,Grizzlies
1628436,Luke Kornet,Celtics
1630249,Vít Krejčí,Hawks
1630228,Jonathan Kuminga,Warriors
1628398,Kyle Kuzma,Bucks
1631222,Jake LaRavia,Kings
203897,Zach LaVine,Kings
1629111,Jock Landale,Rockets
1641796,Pelle Larsson,Heat
1630639,A.J. Lawson,Raptors
1627747,Caris LeVert,Hawks
1627814,Damion Lee,Suns
203458,Alex Len,Lakers
202695,Kawhi Leonard,Clippers
1641721,Maxwell Lewis,Nets
1630604,E.J. Liddell,Bulls
203081,Damian Lillard,Bucks
1641726,Dereck Lively II,Mavericks
1641753,Chris Livingston,Bucks
1626172,Kevon Looney,Warriors
201572,Brook Lopez,Bucks
201567,Kevin Love,Heat
200768,Kyle Lowry,Sixers
1641754,Seth Lundy,Clippers
1626168,Trey Lyles,Kings
1630572,Sandro Mamukelashvili,Spurs
1629611,Terance Mann,Hawks
1630544,Tre Mann,Hornets
1628374,Lauri Markkanen,Jazz
1630230,Naji Marshall,Mavericks
1628997,Caleb Martin,Mavericks
1628998,Cody Martin,Suns
1641798,Jaylen Martin,Wizards
1630231,KJ Martin,Jazz
1631213,Tyrese Martin,Nets
1629726,Garrison Mathews,Hawks
1631097,Bennedict Mathurin,Pacers
1631255,Karlo Matković,Pelicans
1630178,Tyrese Maxey,Sixers
1630540,Miles McBride,Knicks
1642272,Jared McCain,Sixers
1630644,Mac McClung,Magic
203468,CJ McCollum,Pelicans
204456,T.J. McConnell,Pacers
1641755,Kevin McCullar Jr.,Knicks
1630183,Jaden McDaniels,Timberwolves
203926,Doug McDermott,Kings
1631121,Bryce McGowens,Blazers
1629162,Jordan McLaughlin,Spurs
1629098,Jack McVeigh,Rockets
1629001,De'Anthony Melton,Nets
1630241,Sam Merrill,Cavaliers
203995,Vasilije Micić,Suns
203114,Khris Middleton,Wizards
1641706,Brandon Miller,Hornets
1641801,Emanuel Miller,Bulls
1641757,Jordan Miller,Clippers
1631159,Leonard Miller,Timberwolves
201988,Patty Mills,Clippers
1629003,Shake Milton,Lakers
1631303,Justin Minaya,Blazers
1642434,Riley Minix,Spurs
1631169,Josh Minott,Timberwolves
1642274,Yves Missi,Pelicans
1642349,Ajay Mitchell,Thunder
1630558,Davion Mitchell,Heat
1628378,Donovan Mitchell,Cavaliers
1630596,Evan Mobley,Cavaliers
1642367,Jonathan Mogbo,Raptors
1628370,Malik Monk,Kings
1630541,Moses Moody,Warriors
